"Condition type ""%1"" is not allowed","Non è consentito il tipo di condizione ""%1"""
"The configuration parameter ""formElement"" is a required for ""%1"" field.","The configuration parameter ""formElement"" is a required for ""%1"" field."
"Remove %1","Rimuovi %1"
"Add New %1","Aggiungi nuovo %1"
"New %1","Nuovo %1"
"Please select item(s).","Please select item(s)."
"Invalid XML in file %1:\n%2","Invalid XML in file %1:\n%2"
".","."
"Unsupported bookmark action.","Azione di segnalibro non supportato."
"UI component could not be rendered because of system exception","UI component could not be rendered because of system exception"
"Parameter ""class"" must be present.","Parameter ""class"" must be present."
"Parameter ""sortOrder"" must be present.","Parameter ""sortOrder"" must be present."
"Invalid UI Component element name: '%1'","Invalid UI Component element name: '%1'"
"Bookmark with id ""%1"" does not exist.","Bookmark with id ""%1"" does not exist."
"Invalid UI Component element name: ''","Invalid UI Component element name: ''"
"Cancel","Annulla"
"Back","Indietro"
"Next","Successivo"
"Changes have been made to this section that have not been saved.","Sono state apportate modifiche a questa sezione che non sono state salvate."
"This tab contains invalid data. Please resolve this before saving.","Questa scheda contiene dati non validi. Risolvi il problema prima di salvare."
"Assign","Assegna"
"Options","Opzioni"
"records found","record trovati"
"selected","selezionato"
"of","di"
"Filters","Filtri"
"Add","Aggiungi"
"Something went wrong.","Qualcosa è andato storto."
"Yes","Sì"
"No","No"
"Done","Fine"
"options","opzioni"
"Select...","Seleziona..."
"Selected","Selezionato"
"Select All","Seleziona tutto"
"Deselect All","Deseleziona tutto"
"Select All on This Page","Seleziona tutto di questa pagina"
"Deselect All on This Page","Deseleziona tutto della pagina"
"On","Attivo"
"Off","Non attivo"
"Go to Details Page","Vai alla pagina dei dettagli"
"New View","Nuova visualizzazione"
"Default View","Visualizzazione predefinita"
"${ $.visible } out of ${ $.total } visible","${ $.visible } su ${ $.total } visibili"
"You have successfully saved your edits.","Le tue modifiche sono state salvate correttamente."
"There are {placeholder} messages requires your attention.","Ci sono {placeholder} messaggi che richiedono la tua attenzione."
"from","da"
"to","a"
"You haven't selected any items!","Non hai selezionato alcun elemento!"
"Search by keyword","Ricerca per parola chiave"
"Keyword","Parola chiave"
"Select Date","Seleziona la data"
"Please enter more or equal than {0} symbols.","Inserisci un numero di simboli maggiori o uguali a {0}."
"Please enter less or equal than {0} symbols.","Inserisci un numero di simboli minore o uguale a {0}."
"Please enter {0} words or less.","Inserisci {0} parole o meno."
"Please enter at least {0} words.","Inserisci almeno {0} parole."
"Please enter between {0} and {1} words.","Inserisci un numero di parole tra {0} e {1}."
"Letters or punctuation only please","Solo lettere o segni di punteggiatura"
"Letters, numbers, spaces or underscores only please","Solo lettere, numeri, spazi e underscore"
"Letters only please","Solo lettere"
"No white space please","Nessuno spazio bianco"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","Il tuo CAP deve essere compreso tra 902xx-xxxx e 905-xx-xxxx"
"A positive or negative non-decimal number please","Inserisci un numero positivo o negativo non decimale"
"The specified vehicle identification number (VIN) is invalid.","Il numero di identificazione del veicolo (VIN) specificato non è valido."
"Please enter a correct date","Inserisci una data corretta"
"Vul hier een geldige datum in.","Vul hier een geldige datum in."
"Please enter a valid time, between 00:00 and 23:59","Inserisci un'ora valida, dalle 00:00 alle 23.59"
"Please enter a valid time, between 00:00 am and 12:00 pm","Inserisci un'ora valida, dalle 00:00 am alle 12:00 pm"
"Please specify a valid phone number","Specifica un numero di telefono valido"
"Please specify a valid mobile number","Specifica un numero di cellulare valido"
"Please enter at least {0} characters","Inserisci almeno {0} caratteri"
"Please enter a valid credit card number.","Inserire un numero di carta di credito valido."
"Please enter a valid IP v4 address.","Inserisci un indirizzo IP v4 valido."
"Please enter a valid IP v6 address.","Inserisci un indirizzo IP v6 valido."
"Invalid format.","Formato non valido."
"HTML tags are not allowed.","I tag HTML non sono ammessi."
"Please select an option.","Selezionare un'opzione."
"Empty Value.","Valore vuoto."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","Utilizza solo lettere (a-z o A-Z), numeri (0-9) o spazi in questo campo."
