"Back","Volver"
"Reset","Restablecer"
"Delete Role","Eliminar Función"
"Are you sure you want to do this?","¿Está seguro de que quiere hacer esto?"
"Save Role","Guardar Rol"
"Roles","Funciones"
"Add New Role","Añadir Nuevo Cargo"
"Role Information","Información del rol"
"Role Users","Funciones del usuario"
"User ID","ID de Usuario"
"User Name","Usuario"
"First Name","Nombre"
"Last Name","Apellidos"
"Email","Correo electrónico"
"Status","Estado"
"Active","Activo"
"Inactive","Inactivo"
"Role Resources","Recursos de la función"
"Role Info","Información de la función"
"Role Name","Nombre del puesto"
"Current User Identity Verification","Verificación de identidad del usuario actual"
"Your Password","Su contraseña"
"Add New User","Añadir nuevo usuario"
"Users","Usuarios"
"Save User","Guardar usuario"
"Delete User","Eliminar usuario"
"Are you sure you want to revoke the user's tokens?","¿Está seguro que desea revocar el token del cliente?"
"Force Sign-In","Forzar inicio de sesión"
"Edit User '%1'","Editar usuario '%1'"
"New User","Nuevo usuario"
"Account Information","Información de la cuenta"
"User Email","Correo electrónico del usuario"
"Password","Contraseña"
"New Password","Nueva contraseña"
"Password Confirmation","Confirmación de contraseña"
"Interface Locale","Configuración de interfaz"
"This account is","Esta cuenta es"
"Account Status","Estado de cuenta"
"User Roles Information","Información de las funciones de usuario"
"Assigned","Asignado"
"Role","Cargo"
"User Information","Información de usuario"
"User Info","Información de usuario"
"User Role","Cargo del usuario"
"Please correct the password reset token.","Por favor, corrija el testigo de restablecimiento de contraseña."
"Please specify the correct account and try again.","Por favor, especifique la cuenta correcta e inténtelo de nuevo."
"Your password reset link has expired.","Su enlace de restablecimiento de contraseña ha caducado."
"We're unable to send the password reset email.","No se puede enviar el correo electrónico para restablecer la contraseña."
"We'll email you a link to reset your password.","Te enviaremos por email un link para restablecer tu contraseña."
"Please correct this email address:","Por favor corregir esta dirección de correo electrónico:"
"Please enter an email address.","Por favor introduce una dirección de correo."
"You updated your password.","Actualizó su contraseña."
"Locked Users","Usuarios bloqueados"
"Unlocked %1 user(s).","Desbloqueo de %1 usuarios."
"System","Sistema"
"Permissions","Permisos"
"You cannot delete your own account.","No puedes eliminar tu propia cuenta."
"You have entered an invalid password for current user.","You have entered an invalid password for current user."
"You deleted the user.","Ha eliminado el usuario."
"We can't find a user to delete.","No se puede encontrar un usuario para eliminar."
"This user no longer exists.","Este usuario ya no existe."
"Edit User","Editar usuario"
"You have revoked the user's tokens.","Se han revocado los tokens de usuario."
"We can't find a user to revoke.","No podemos encontrar un usuario para revocar."
"You cannot delete self-assigned roles.","No se pueden eliminar papeles auto asignados."
"You deleted the role.","Ha eliminado el rol."
"An error occurred while deleting this role.","Ocurrió un error al eliminar esta función."
"Edit Role","Editar Rol"
"New Role","Nueva función"
"This role no longer exists.","Este rol ya no existe."
"You saved the role.","Guardó el rol."
"An error occurred while saving this role.","Error al guardar esta funcion."
"You saved the user.","Se ha guardado el usuario."
"A user with the same user name or email already exists.","Ya existe un usuario con el mismo nombre de usuario o correo electrónico."
"Recommended","Recomendado"
"Forced","Forzado"
"Sorry, but this password has already been used. Please create another.","Lo sentimos, pero esta contraseña ya ha sido utilizada. Por favor crea otro."
"email","correo electrónico"
"password","contraseña"
"username","usuario"
"You did not sign in correctly or your account is temporarily disabled.","You did not sign in correctly or your account is temporarily disabled."
"You need more permissions to access this.","You need more permissions to access this."
"Your account is temporarily disabled.","Your account is temporarily disabled."
"User Name is a required field.","User Name is a required field."
"First Name is a required field.","First Name is a required field."
"Last Name is a required field.","Last Name is a required field."
"Please enter a valid email.","Por favor ingrese un email válido."
"Password is required field.","Se requiere contraseña."
"Your password must be at least %1 characters.","Tu contraseña debe tener al menos caracteres %1."
"Your password must include both numeric and alphabetic characters.","Passwort muss sowohl numerische als auch alphabetische Zeichen enthalten."
"Your password confirmation must match your password.","La confirmación de su contraseña debe coincidir con la contraseña."
"It's time to change your password.","Es hora de cambiar la contraseña."
"It's time to <a href=""%1"">change your password</a>.","Es hora de <a href=\"%1\"> cambiar la contraseña</a>."
"Your password has expired; please contact your administrator.","Su contraseña ha caducado; por favor, póngase en contacto con su administrador."
"Password Help","Ayuda para contraseña"
"Enter your email address.  You will receive an email with a link to reset your password.","Introduzca su dirección de correo electrónico.  Usted recibirá un correo electrónico con un enlace para restablecer tu contraseña."
"Email address","Dirección de correo electrónico"
"Retrieve Password","Recuperar contraseña"
"Back to Sign in","Volver a iniciar sesión"
"Forgot your password?","¿Olvidaste tu contraseña?"
"Reset a Password","Reinicializar contraseña"
"Confirm New Password","Confirmar contraseña nueva"
"Reset Password","Restablecer contraseña"
"Roles Resources","Funciones de recursos"
"Resource Access","Acceso a los recursos"
"Custom","Personalizado"
"All","Todos"
"Resources","Recursos"
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?"
"Password Reset Confirmation for %name","Confirmación de reinicio de contraseña para %name"
"%name,","%nombre,"
"There was recently a request to change the password for your account.","Recientemente hubo una solicitud para cambiar la contraseña de su cuenta."
"If you requested this change, reset your password here:","Si solicitó este cambio, cambiar su contraseña aquí:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Si no ha realizado esta solicitud, puede ignorar este mensaje y su contraseña seguirá siendo la misma."
"Thank you,","Gracias,"
"New %changes for %user_name","Nuevos %changes para %user_name"
"Hello,","Hola,"
"We have received a request to change the following information associated with your account at %store_name: %changes.","Hemos recibido una solicitud para cambiar la siguiente información asociada a tu cuenta en %store_name: correo electrónico."
"If you have not authorized this action, please contact us immediately at %store_email","Si usted no ha autorizado esta acción, por favor contáctenos inmediatamente a %store_email"
"or call us at %store_phone","or call us at %store_phone"
"Thanks,","Gracias,"
"All Users","Todos los usuarios"
"User Roles","Rol del usuario"
"User Notification Template","Plantilla de notificación de usuario"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Plantilla de correo electrónico elegida basada en la suplencia de tema cuando está seleccionada la opción ""Predeterminado""."
"Maximum Login Failures to Lockout Account","Máximo de fallas Inicio de sesión antes de bloqueo de cuenta"
"We will disable this feature if the value is empty.","Desactivará esta función si el valor está vacío."
"Lockout Time (minutes)","Tiempo de bloqueo (minutos)"
"Password Lifetime (days)","Tiempo de vida de password (dias)"
"Password Change","Cambio de contraseña"
"Unlock","Desbloquear"
"ID","Número de Identificación (ID)"
"Username","Nombre de usuario"
"Last login","Última sesión"
"Failures","Fallos"
"Unlocked","Desbloqueado"
"The password for your account has been successfully changed.","The password for your account has been successfully changed."
