"Custom Variables","Variables personalizadas"
"Add New Variable","Agregar nueva variable"
"Save and Continue Edit","Guardar y continuar editando"
"Custom Variable ""%1""","Variable personalizada ""%1"""
"New Custom Variable","Nueva variable personalizada"
"Variable","Variable"
"Variable Code","Código de variable"
"Variable Name","Nombre de la variable"
"Use Default Variable Values","Usar valores de variable predeterminados"
"No","No"
"Yes","Sí"
"Variable HTML Value","Valor de la variable HTML"
"Variable Plain Value","Valor de variable simple"
"You deleted the custom variable.","Se ha eliminado la variable personalizada."
"You saved the custom variable.","Se ha guardado la variable personalizada."
"Variable Code must be unique.","El código de variable debe ser único."
"Validation has failed.","La validación ha fallado."
"%1","%1"
"Insert Variable...","Insertar Variable..."
"Variable ID","Variable ID"
"Name","Nombre"
"Custom Variable","Variable personalizada"
"Base URL","URL base"
"Secure Base URL","URL base segura"
"Web","Web"
"Edit Variable","Edit Variable"
"Insert Variable","Insert Variable"
"The variable %1 is no longer available. Select a different variable.","The variable %1 is no longer available. Select a different variable."
"Cancel","Cancel"
"Save","Save"
"Type","Tipo"
"Code","Código"
