"Custom Variables","Variabili personalizzate"
"Add New Variable","Aggiungi nuova variabile"
"Save and Continue Edit","Salva e continua modifica"
"Custom Variable ""%1""","Variabile personalizzata ""%1"""
"New Custom Variable","Nuova variabile personalizzata"
"Variable","Variabile"
"Variable Code","Codice variabile"
"Variable Name","Nome della variabile"
"Use Default Variable Values","Usa i valori predefiniti delle variabili"
"No","No"
"Yes","Sì"
"Variable HTML Value","Valore HTML Variabile"
"Variable Plain Value","Valore testuale variabile"
"You deleted the custom variable.","Hai eliminato la variabile personalizzata."
"You saved the custom variable.","Hai salvato la variabile personalizzata."
"Variable Code must be unique.","Il codice variabile deve essere unico."
"Validation has failed.","Convalida non riuscita."
"%1","%1"
"Insert Variable...","Inserire la variabile..."
"Variable ID","ID variabile"
"Name","Nome"
"Custom Variable","Custom Variable"
"Base URL","Base URL"
"Secure Base URL","Secure Base URL"
"Web","Web"
"Edit Variable","Edit Variable"
"Insert Variable","Insert Variable"
"The variable %1 is no longer available. Select a different variable.","The variable %1 is no longer available. Select a different variable."
"Cancel","Cancel"
"Save","Save"
"Type","Type"
"Code","Code"
