"Custom Variables","Özel değişkenler"
"Add New Variable","Yeni Değişken Ekle"
"Save and Continue Edit","Kaydet ve Devam Et"
"Custom Variable ""%1""","Özel Değişken ""%1"""
"New Custom Variable","Yeni Özel Değişken"
"Variable","Değişken"
"Variable Code","Değişken Kodu"
"Variable Name","Değişken Adı"
"Use Default Variable Values","Varsayılan Değişken Değerlerini Kullan"
"No","Hayır"
"Yes","Evet"
"Variable HTML Value","Değişken HTML değeri"
"Variable Plain Value","Değişken Değeri"
"You deleted the custom variable.","Özel değişkeni sildiniz."
"You saved the custom variable.","Özel değişkeni kaydettiniz."
"Variable Code must be unique.","Değişken Kodu eşsiz olmalıdır."
"Validation has failed.","Doğrulama yapılamadı."
"%1","%1"
"Insert Variable...","Değişken ekle..."
"Variable ID","Değişken No"
"Name","Adı"
"Custom Variable","Özel Değişken"
"Base URL","Ana URL"
"Secure Base URL","Güvenli Ana URL"
"Web","Web"
"Edit Variable","Değişkeni düzenle"
"Insert Variable","Değişen Ekle"
"The variable %1 is no longer available. Select a different variable.","%1 değişkeni artık kullanılamıyor. Farklı bir değişken seçin."
"Cancel","İptal et"
"Save","Kaydet"
"Type","Tür"
"Code","Kod"
