"Delete Current Hierarchy","删除当前层次结构"
"Copy","复制"
"Pages Hierarchy","页面层次结构"
"Page Properties","页面属性"
"Title","标题"
"URL Key","网址"
"Preview","预览"
"Preview is not available.","预览不可用。"
"Render Metadata in HTML Head.","呈现 HTML 标头中的元数据。"
"First","第一"
"Next/Previous","下一页/上一页"
"Enable Chapter/Section","启用章节的内容"
"Enables Chapter/Section functionality for this node, its sub-nodes and pages","使此节点及其子节点和页的章节的内容功能"
"Chapter/Section","章节的内容"
"Defines this node as Chapter/Section","将此节点定义为章节的内容"
"Pagination Options for Nested Pages","对于嵌套页面分页选项"
"Enable Pagination","启用分页"
"Frame","框架"
"Set the number of links to display at one time.","设置一次显示的链接数目。"
"Frame Skip","跳过帧"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","如果当前帧的位置并不包括至上页，将提供链接到当前位置加减此值。"
"Page Navigation Menu Options","页面导航菜单选项"
"Exclude from Navigation Menu","从导航菜单中排除"
"Show in navigation menu.","在导航菜单中显示。"
"Menu Layout","菜单布局"
"Only Children","只有孩子"
"Neighbours and Children","邻居们和孩子们"
"Menu Detalization","菜单 Detalization"
"Maximal Depth","最大深度"
"Node Levels to Include","节点的层包括"
"List Type","列表类型"
"List Style","列表样式"
"Main Navigation Menu Options","主导航菜单选项"
"Add selected page(s) to the tree","

将选定的页面添加到树上 "
"Remove from tree.","从树中移除。"
"Cancel","取消"
"Save","保存"
"Add Node...","添加节点..."
"Add to tree.","将添加到树。"
"Update","更新"
"Node Properties","节点属性"
"Page ID","页面 ID"
"Manage Hierarchies","管理层次结构"
"Hierarchy","层次结构"
"Home","首页"
"Go to Home Page","前往主页"
"You copied the pages hierarchy to the selected scopes.","你的页面层次结构复制到选定范围。"
"Something went wrong while copying the hierarchy.","复制层次结构时，出了错。"
"Please correct the scope.","请更正范围。"
"You deleted the pages hierarchy from the selected scopes.","从选定范围中删除页面层次结构。"
"Something went wrong while deleting the hierarchy.","删除层次结构时，出了错。"
"CMS","CMS页面链接内联摸板"
"CMS Page Trees","CMS 页面树"
"You have saved the hierarchy.","你救了层次结构。"
"Something went wrong while saving the hierarchy.","保存该层次结构时，出了错。"
"Manage Pages","默认被禁用"
"Private","私人"
"Protected","保护"
"Public","私人"
"Delete Multiple Hierarchies","删除多个层次结构"
"Please correct the node data.","请更正节点的数据。"
"CMS Node with id ""%1"" does not exist.","CMS 具有 id""%1""的节点不存在。"
"Tree Viewed","查看树"
"No","否"
"Chapter","第章"
"Section","一节"
"Both","两个"
"Use default","使用默认值"
"Default","默认"
"Numbers (1, 2, 3, ...)","数字 (1，2，3，...)"
"Lower Alpha (a, b, c, ...)","降低 α (a、 b、 c，...)"
"Upper Alpha (A, B, C, ...)","上阿尔法 (A、 B、 C、......)"
"Lower Roman (i, ii, iii, ...)","降低罗马 (我、 ii、 iii，...)"
"Upper Roman (I, II, III, ...)","大写罗马数字 (I，II，III，...)"
"Circle","圈子"
"Disc","光盘"
"Square","广场"
"Unordered","无序"
"Ordered","已下单"
"Use Parent","使用父"
"Yes","是"
"Use the parent node hierarchy.","使用父节点层次结构。"
"Are you sure you want to delete current hierarchy?","是否确实要删除当前层次结构?"
"This page cannot be added, because a node or page with the same URL Key already exists in this tree part.","此页无法添加，因为节点或页具有相同的 URL 键已存在于此树的一部分。"
"This URL key is already in use.","此 URL 密钥已被使用。"
"CMS Pages","CMS网页"
"Please select a website or store view.","请选择网站或商店视图。"
"Are you sure you want to copy the current hierarchy to the selected destinations?","你确定你想要将当前层次结构复制到所选的目的地?"
"Are you sure you want to delete the selected hierarchies?","是否确实要删除选定的分层?"
"Delete","删除"
"Please select one or more hierarchies to delete.","请选择一个或多个层次结构中删除。"
"Please assign the current hierarchy to one or more destinations.","请将当前层次结构分配给一个或多个目的地。"
"Root","根"
"No nodes are available","没有节点是可用"
"Single Hierarchy for All Store Views","单个层次结构中的所有存储视图"
"Specific Hierarchy for Each Store View","每个存储视图的的特定层次结构"
"CMS Hierarchy for","CMS 的层次结构"
"Anchor Custom Text","自定义文本锚点"
"If this value is empty, the node or page name will be used.","如果此值为空，将使用节点或页面的名称。"
"Anchor Custom Title","自定义标题锚点"
"Node","节点"
"Not Selected","非所选"
"Select a page or node.","选择一个网页或节点。"
"Parent page","父页"
"Website Root","网站根目录"
"Page:","页面"
"Page","页面"
"Previous","前一页"
"You're currently reading page","您当前正在阅读页"
"Next","下一页"
"Delete Revision and Version","删除修订和版本"
"Publish Revision","发布版本"
"Pages","页面"
"CMS Page Hierarchy","CMS 页面层次结构"
"Enable Hierarchy Functionality","启用功能层次结构"
"Enable Hierarchy Metadata","启用元数据层次结构"
"Default Layout for Hierarchy Menu","层次结构菜单的默认布局"
"CMS Hierarchy","CMS 的层次结构"
"CMS Hierarchy Node Link","CMS 的层次结构节点链接"
"Link to Specified CMS Hierarchy Node","链接到指定群集邮箱服务器层次结构节点"
"Template","模板"
"CMS Page Link Block Template","CMS 页面链接块模板"
"CMS Page Link Inline Template","CMS 页面链接内联模板"
"All Store Views","所有商店界面"
"Add selected page(s) to the tree.","将所选的页面添加到树中。"
"Version Control","版本控制"
"Version Label","版本标签"
"Owner","所有者"
"Access Level","访问级别"
"Quantity","数量"
"Created","创建"
"Versions","版本"
"Are you sure?","您确定吗？"
"N/A","N/A"
"Are you sure you want to delete this revision?","是否确实要删除此版本?"
"Publish","发布"
"Save and publish.","保存并发布。"
"Save in a new version.","在新版本中保存。"
"You must specify a new version name.","您必须指定一个新的版本名称。"
"Please specify a valid name.","请指定一个有效名称。"
"Edit Page '%1' Revision #%2","编辑页面 '%1' 修订 #%2"
"Edit Page '%1' New Revision","编辑页面 '%1' 新修订"
"Revision Information","修订信息"
"Save as new version.","另存为新版本。"
"New Revision...","新修订版本..."
"Save and continue edit.","保存并继续编辑。"
"Edit Page '%1' Version '%2'","编辑页面 '%1' 版本 '%2'"
"Version Information","版本信息"
"Revision","修订"
"Author","作者"
"Edit Page","编辑页"
"New Page","新页面"
"Please select version(s).","请选择版本。"
"A total of %1 record(s) have been deleted.","已经删除 %1的记录"
"Something went wrong while deleting these versions.","在删除这些版本时出了错。"
"You have deleted the revision.","您已经删除的修订。"
"Something went wrong while deleting the revision.","删除修订时出了错。"
"We can't find a revision to delete.","我们找不到要删除修订。"
"We could not load the specified revision.","我们无法加载指定的修订版本。"
"Edit Revision","编辑修订"
"You have published the revision.","您已发布的修订。"
"You have saved the revision.","您已保存的修订。"
"You have deleted the version.","您已经删除的版本。"
"Something went wrong while deleting this version.","删除此版本时出了错。"
"We can't find a version to delete.","我们找不到要删除的版本。"
"Edit Version","编辑版本"
"Please select revision(s).","请选择修订版。"
"Something went wrong while deleting the revisions.","删除修订时出了错。"
"You have created the new version.","您已创建的新版本。"
"You have saved the version.","您已保存的版本。"
"Revision #%1 could not be removed because it is published.","无法删除修订 #%1，因为它出版。"
"CMS Revision with id ""%1"" does not exist.","CMS 修订 id 为""%1""并不存在。"
"Please enter a version label.","请输入一个版本标签。"
"Cannot change version access level because it is the last public version for its page.","无法更改版本的访问级别，因为它是为其页面的最后的公共版本。"
"Version ""%1"" cannot be removed because it is the last public page version.","不能删除版本""%1""，因为它是最后的公共页面版本。"
"Version ""%1"" cannot be removed because its revision is published.","不能删除版本""%1""，因为发表了其修订。"
"CMS Version with id ""%1"" does not exist.","Id 为""%1""的 CMS 版本不存在。"
"Published","发布时间"
"[No Owner]","[没有所有者]"
"Enabled by Default","默认情况下启用"
"Disabled by Default","默认为禁用"
"Under Version Control","在版本控制之下"
"%1; rev #%2","%1冯 #%2"
"Currently Published Revision","当前已发布的修订"
"The published revision is unavailable.","已发布的修订将不可用。"
"Some error","某些错误"
"There are unsaved node data. Are you sure you want to continue?","那里未保存的节点数据。你确定要继续吗?"
"Loading...","正在加载..."
"Please wait...","请稍候..."
"Choose Revision","选择修订"
"Current Modification","当前修改"
"Revision #%1","修订 #%1"
"Choose Store View:","选择商店界面:"
"Revision #","修订 #"
"New Revision","新的修订版本"
"Author:","作者"
"Created:","已创建:"
"Version:","当前版本"
"This Page Belongs To","本页面属于"
"Version Revisions","版本修改"
"CMS Versioning","CMS 版本控制"
"CMS Page Default Versioning","CMS 页面默认版本控制"
"The CMS node with the ""%1"" ID doesn't exist.","The CMS node with the ""%1"" ID doesn't exist."
