"Search All Products","In allen Produkten suchen"
"Add Product by SKU","Produkt mit SKU hinzufügen"
"Position","Reihenfolge"
"Action","Aktion"
"Unassign","Zuordnung aufheben"
"Top","Nach oben"
"Bottom","Unten"
"Choose a selection...","Treffen Sie eine Auswahl..."
"Page not found.","Seite nicht gefunden."
"No SKU entered","Keine Artikelnummer eingegeben"
"Undefined Action","Nicht definierte Aktion"
"Products with the following SKUs do not exist: %s","Produkte mit den folgenden SKUs existieren nicht: %s"
"%s SKU(s) processed successfully","%s SKU(s) erfolgreich verarbeitet"
"On Top","Oben"
"On Bottom","Auf Unterseite"
"Category rules validation failed","Validierung der Kategorien-Regeln ist fehlgeschlagen"
"Clone category ID(s)","Kategorien-ID(s) klonen"
"Date Created (days ago)","Erstellungsdatum (vor ... Tagen)"
"Date Modified (days ago)","Datum geändert (schon seit Tagen)"
"Error in reading category rules","Fehler beim Lesen der Kategorieregeln"
"There was no category rules to apply","Es gab keine Kategorieregeln anzuwenden"
"Category rules applied","Kategorieregeln angewendet"
"Equal","Gleich"
"Not equal","Ungleich"
"Greater than","Größer als"
"Greater than or equal to","Größer als oder gleich wie"
"Less than","Kleiner als"
"Less than or equal to","Kleiner als oder gleich wie"
"Contains","Enthält"
"Error in yes/no format","Fehler beim Ja/Nein Format"
"Category ID '%1' not found","Kategorie-ID '%1' nicht gefunden"
"%1 doesn't implement SortInterface","%1 implementiert nicht SortInterface"
"Move low stock to top","Geringe Bestände nach oben verschieben"
"Name: A - Z","Name: A - Z"
"Name: Z - A","Name: Z - A"
"Newest products first","Neueste Produkte zu erst"
"Move out of stock to bottom","Out of Stock nach unten verschieben"
"Price: High to low","Preis: absteigend"
"Price: Low to high","Preis: aufsteigend"
"SKU: Ascending","SKU: aufsteigend"
"SKU: Descending","SKU: absteigend"
"Sort by color","Nach Farbe sortieren"
"Special price to bottom","Sonderpreis nach unten"
"Special price to top","Sonderpreis nach oben"
"None","Keine"
"Enter SKUs below, one per line","SKUs unten eingeben (eine pro Zeile eingeben)"
"Assign","Zuordnen"
"Remove","Entfernen"
"Grid","Liste"
"Tile","Kachel"
"records found","Einträge gefunden"
"per page","pro Seite"
"Previous page","Vorherige Seite"
"of %1","von %1"
"Next page","Nächste Seite"
"Draggable","Ziehbar"
"Close","Schließen"
"Product image","Artikelbild"
"You can create a rule only to the existing categories.","Sie können Regeln nur an den bestehenden Kategorien erstellen."
"Only products matched by rule will be present in the category after save. Unmatched products and manual sorting will be removed from the category.","Nur durch Regel abgestimmte Produkte sind in der Kategorie nach dem Speichern anwesend. Unübertroffene Produkte und Handsortierung werden aus der Kategorie entfernt."
"Attribute","Attribut"
"Operator","Betreiber"
"Value","Wert"
"Logic","Logik"
"Add Condition","Bedingung hinzufügen"
"Delete","Löschen"
"Match products by rule","Produkte nach Regel zuordnen"
"Yes","Ja"
"No","Nein"
"Add Products","Artikel hinzufügen"
"Save and Close","Speichern und schließen"
"On","Ein"
"Off","Aus"
"Visual Merchandiser Options","Visuelle Merchandiser Optionen"
"Visual Merchandiser","Visueller Merchandiser"
"General Options","Allgemeine Optionen"
"Visible Attributes for Category Rules","Sichtbare Attribute für Kategorieregeln"
"Additional attributes usable in category rules","Zusätzliche Attribute in Kategorieregeln verwendbar"
"Minimum Stock Threshold","Minimale vordefinierte Stock"
"Determines which products are 'low stock'","Legt fest, welche Produkte 'low Stock' sind"
"Color Attribute Code","Farb-Attribut-Code"
"Color Order","Farbreihenfolge"
"Each color being on a separate row.","Jede Farbe in einer separaten Zeile zu sein."
"Sort","Ordnen"
"Automatic Sorting","Automatische Sortierung"
"Sort order","Sortierreihenfolge"
"Thumbnail","Vorschaubild"
"Name","Name"
"Price","Preis"
"SKU","Artikelnummer"
"Stock","Lagerbestand"
"Category Products","Category Products"
"Wait loading...","Lade Daten..."
"Rule %1 does not exists","Rule %1 does not exists"
