"Search All Products","Search All Products"
"Add Product by SKU","Add Product by SKU"
"Position","Posisi"
"Action","Aksi"
"Unassign","Batalkan penetapan"
"Top","Atas"
"Bottom","Bottom"
"Choose a selection...","Pilih pilihan..."
"Page not found.","Halaman tidak ditemukan."
"No SKU entered","No SKU entered"
"Undefined Action","Undefined Action"
"Products with the following SKUs do not exist: %s","Products with the following SKUs do not exist: %s"
"%s SKU(s) processed successfully","%s SKU(s) processed successfully"
"On Top","On Top"
"On Bottom","On Bottom"
"Category rules validation failed","Category rules validation failed"
"Clone category ID(s)","Clone category ID(s)"
"Date Created (days ago)","Date Created (days ago)"
"Date Modified (days ago)","Date Modified (days ago)"
"Error in reading category rules","Error in reading category rules"
"There was no category rules to apply","There was no category rules to apply"
"Category rules applied","Category rules applied"
"Equal","Equal"
"Not equal","Not equal"
"Greater than","Greater than"
"Greater than or equal to","Greater than or equal to"
"Less than","Less than"
"Less than or equal to","Less than or equal to"
"Contains","Contains"
"Error in yes/no format","Error in yes/no format"
"Category ID '%1' not found","ID kategori '%1' tidak ditemukan"
"%1 doesn't implement SortInterface","%1 tidak mengimplementasikan menyortir Interface"
"Move low stock to top","Move low stock to top"
"Name: A - Z","Name: A - Z"
"Name: Z - A","Name: Z - A"
"Newest products first","Newest products first"
"Move out of stock to bottom","Move out of stock to bottom"
"Price: High to low","Price: High to low"
"Price: Low to high","Price: Low to high"
"SKU: Ascending","SKU: Ascending"
"SKU: Descending","SKU: Descending"
"Sort by color","Sort by color"
"Special price to bottom","Special price to bottom"
"Special price to top","Special price to top"
"None","Tidak ada"
"Enter SKUs below, one per line","Enter SKUs below, one per line"
"Assign","Menetapkan"
"Remove","Menghapus"
"Grid","Kisi"
"Tile","Ubin"
"records found","catatan ditemukan"
"per page","per halaman"
"Previous page","Halaman sebelumnya"
"of %1","dari%1"
"Next page","Halaman selanjutnya"
"Draggable","Draggable"
"Close","Tutup"
"Product image","Product image"
"You can create a rule only to the existing categories.","You can create a rule only to the existing categories."
"Only products matched by rule will be present in the category after save. Unmatched products and manual sorting will be removed from the category.","Only products matched by rule will be present in the category after save. Unmatched products and manual sorting will be removed from the category."
"Attribute","Atribut"
"Operator","Operator"
"Value","Nilai"
"Logic","Logic"
"Add Condition","Add Condition"
"Delete","Menghapus"
"Match products by rule","Match products by rule"
"Yes","Iya"
"No","Tak"
"Add Products","Tambahkan Produk"
"Save and Close","Save and Close"
"On","Di"
"Off","Mati"
"Visual Merchandiser Options","Visual Merchandiser Options"
"Visual Merchandiser","Visual Merchandiser"
"General Options","Pilihan umum"
"Visible Attributes for Category Rules","Visible Attributes for Category Rules"
"Additional attributes usable in category rules","Additional attributes usable in category rules"
"Minimum Stock Threshold","Minimum Stock Threshold"
"Determines which products are 'low stock'","Determines which products are 'low stock'"
"Color Attribute Code","Color Attribute Code"
"Color Order","Color Order"
"Each color being on a separate row.","Each color being on a separate row."
"Sort","Sort"
"Automatic Sorting","Automatic Sorting"
"Sort order","Sort order"
"Thumbnail","Gambar Kecil"
"Name","Nama"
"Price","Harga"
"SKU","SKU"
"Stock","Persediaan"
"Category Products","Kategori Produk"
"Wait loading...","Wait loading..."
"Rule %1 does not exists","Rule %1 does not exists"
