"Search All Products","Search All Products"
"Add Product by SKU","Add Product by SKU"
"Stock","Stock"
"Position","ಸ್ಥಾನ"
"Action","ಕ್ರಿಯೆ"
"Unassign","Unassign"
"Top","ಮೇಲೆ"
"Bottom","ಕೆಳಗೆ"
"Choose a selection...","ಒಂದು ಆಯ್ಕೆಯನ್ನು ಆರಿಸಿ..."
"Page not found.","ಪುಟವು ಕಂಡುಬಂದಿಲ್ಲ."
"No SKU entered","No SKU entered"
"Undefined Action","Undefined Action"
"Products with the following SKUs do not exist: %s","Products with the following SKUs do not exist: %s"
"%s SKU(s) processed successfully","%s SKU(s) processed successfully"
"On Top","On Top"
"On Bottom","On Bottom"
"Rule %1 does not exists","Rule %1 does not exists"
"Category rules validation failed","Category rules validation failed"
"Clone category ID(s)","Clone category ID(s)"
"Date Created (days ago)","Date Created (days ago)"
"Date Modified (days ago)","Date Modified (days ago)"
"Error in reading category rules","Error in reading category rules"
"There was no category rules to apply","There was no category rules to apply"
"Category rules applied","Category rules applied"
"Equal","ಸಮ"
"Not equal","ಅಸಮ"
"Greater than","ಗಿಂತ ದೊಡ್ಡದು"
"Greater than or equal to","ಸಮನಾದ ಅಥವಾ ಅದಕ್ಕಿಂತ ದೊಡ್ಡದು"
"Less than","ಗಿಂತ ಚಿಕ್ಕದು"
"Less than or equal to","ಸಮನಾದ ಅಥವಾ ಅದಕ್ಕಿಂತ ಚಿಕ್ಕದಾದ"
"Contains","Contains"
"Error in yes/no format","Error in yes/no format"
"Category ID '%1' not found","Category ID '%1' not found"
"%1 doesn't implement SortInterface","%1 doesn't implement SortInterface"
"Move low stock to top","Move low stock to top"
"Name: A - Z","ಹೆಸರು: A - Z"
"Name: Z - A","ಹೆಸರು: Z - A"
"Newest products first","ಹೊಸದಾದ ಉತ್ಪನ್ನ ಮೊದಲು"
"Move out of stock to bottom","Move out of stock to bottom"
"Price: High to low","ದರ: ಹೆಚ್ಹಿನಿಂದ ಕಡಿಮೆ"
"Price: Low to high","ದರ: ಕಡಿಮೆಯಿಂದ ಹೆಚ್ಚು"
"SKU: Ascending","SKU: ಆರೋಹಣ"
"SKU: Descending","SKU: ಅವರೋಹಣ"
"Sort by color","ಬಣ್ಣದಂತೆ ವಿಂಗಡಿಸಿ"
"Special price to bottom","Special price to bottom"
"Special price to top","Special price to top"
"None","ಯಾವುದೂ ಇಲ್ಲ"
"Enter SKUs below, one per line","Enter SKUs below, one per line"
"Assign","ವಹಿಸಿ"
"Remove","ತೆಗೆದುಹಾಕಿ"
"Grid","ಗ್ರಿಡ್"
"Tile","Tile"
"records found","ದಾಖಲೆಗಳು ಕಂಡುಬಂದಿವೆ"
"per page","ಪ್ರತಿ ಪುಟಕ್ಕೆ"
"Previous page","ಹಿಂದಿನ ಪುಟ"
"of %1","of %1"
"Next page","ಮುಂದಿನ ಪುಟ"
"Draggable","Draggable"
"Close","ಮುಚ್ಚಿರಿ"
"Product image","ಉತ್ಪನ್ನದ ಚಿತ್ರ"
"You can create a rule only to the existing categories.","You can create a rule only to the existing categories."
"Only products matched by rule will be present in the category after save. Unmatched products and manual sorting will be removed from the category.","Only products matched by rule will be present in the category after save. Unmatched products and manual sorting will be removed from the category."
"Attribute","Attribute"
"Operator","Operator"
"Value","Value"
"Logic","Logic"
"Add Condition","ನಿಬಂಧನೆಯನ್ನು ಸೇರಿಸಿ"
"Delete","ಅಳಿಸಿ"
"Match products by rule","Match products by rule"
"Yes","ಹೌದು"
"No","ಇಲ್ಲ"
"Wait loading...","Wait loading..."
"Save and Close","ಉಳಿಸಿ & ಮುಚ್ಚಿರಿ"
"Add Products","ಉತ್ಪನ್ನಗಳನ್ನು ಸೇರಿಸಿ"
"On","ಆನ್"
"Off","ಆಫ್"
"Visual Merchandiser Options","Visual Merchandiser Options"
"Visual Merchandiser","Visual Merchandiser"
"General Options","ಸಾಮಾನ್ಯ ಆಯ್ಕೆಗಳು"
"Visible Attributes for Category Rules","Visible Attributes for Category Rules"
"Additional attributes usable in category rules","Additional attributes usable in category rules"
"Minimum Stock Threshold","Minimum Stock Threshold"
"Determines which products are 'low stock'","Determines which products are 'low stock'"
"Color Attribute Code","Color Attribute Code"
"Color Order","Color Order"
"Each color being on a separate row.","Each color being on a separate row."
"Sort","ವಿಂಗಡಿಸಿ"
"Automatic Sorting","Automatic Sorting"
"Sort order","ವಿಂಗಡಣಾ ಕ್ರಮ"
"Thumbnail","ಕಿರುಚಿತ್ರ"
"Name","ಹೆಸರು"
"Price","ದರ"
"SKU","SKU"
