"Consumer is not authorized to access %resources","El client no està autoritzat a accedir a %resources"
"Operation allowed only in HTTPS","Operació només permesa en HTTPS"
"Cannot perform GET operation with store code 'all'","Cannot perform GET operation with store code 'all'"
"Request does not match any route.","La petició no coincideix amb cap ruta."
"Not allowed parameters: %1. Please use only %2 and %3.","Not allowed parameters: %1. Please use only %2 and %3."
"Requested service is not available: ""%1""","Requested service is not available: ""%1"""
"Operation ""%1"" not found.","Operació ""%1"" no trobada."
"SOAP extension is not loaded.","L'extensió SOAP no s'ha carregat."
"Invalid XML","XML invàlid"
"Invalid XML: Detected use of illegal DOCTYPE","Invalid XML: Detected use of illegal DOCTYPE"
"message","missatge"
"Message","Missatge"
"Soap fault reason.","Motiu de fallada SOAP."
"Manage Customers","Gestionar Clients"
"Create Customer","Crear Client"
"Edit Customer","Editar Client"
"Get Customer","Obtenir Client"
"Delete Customer","Eliminar Client"
"Magento Web API","API Web Magento"
"SOAP Settings","Opcions SOAP"
"Default Response Charset","Charset de Resposta per Defecte"
"If empty, UTF-8 will be used.","S està buit, s'utilitzarà UTF-8."
"Web Services Configuration","Web Services Configuration"
"REST and SOAP configurations, generated WSDL file","REST and SOAP configurations, generated WSDL file"
"Authentication header format is invalid.","Authentication header format is invalid."
"Authentication header is absent.","Authentication header is absent."
"REST and SOAP configurations, generated WSDL file.","REST and SOAP configurations, generated WSDL file."
"Specified request cannot be processed.","Specified request cannot be processed."
"The consumer isn't authorized to access %resources.","The consumer isn't authorized to access %resources."
