"Add Tax","Προσθήκη Φόρου"
"Delete Tax","Διαγραφή Φόρου"
"All Websites","Όλες οι Ιστοσελίδες"
"FPT","FPT"
"Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again.","Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again."
"Including FPT only","Συμπεριλαμβανομένου FPT μόνο"
"Including FPT and FPT description","Συμπεριλαμβανομένου FPT και FPT Περιγραφής"
"Excluding FPT. Including FPT description and final price","Εκτός από FPT Συμπεριλαμβανομένων περιγραφής FPT και τελικής τιμής"
"Excluding FPT","Εκτός από FPT"
"label_value","label_value"
"frontend_label","frontend_label"
"Fixed Product Tax","Σταθερός Φόρος Προϊόντος"
"Country/State","Χώρα/Κράτος"
"Tax","Φόροι"
"Website","Ιστοσελίδα"
"Action","Ενέργεια"
"Excl. Tax","Χωρίς ΦΠΑ"
"Total","Σύνολο"
"Incl. Tax","Με ΦΠΑ"
"Total Incl. Tax","Σύνολο με Φόρο"
"Final Price","Τελική Τιμή"
"Incl. tax","Incl. tax"
"Excl. tax","Excl. tax"
"Total incl. tax","Total incl. tax"
"Fixed Product Taxes","Σταθεροί Φόροι Προϊόντος"
"Enable FPT","Ενεργοποίηση FPT"
"Display Prices In Product Lists","Εμφάνιση τιμών σε λίστες προϊόντων"
"Display Prices On Product View Page","Προβολή τιμών στη σελίδα προϊόντος"
"Display Prices In Sales Modules","Απεικόνιση Τιμών στις Ενότητες Πώλησης"
"Display Prices In Emails","Εμφάνιση τιμών σε μηνύματα ηλεκτρονικού ταχυδρομείου"
"Apply Tax To FPT","Εφαρμογή φόρου σε FPT"
"Include FPT In Subtotal","Συμπερίληψη FPT σε μερικό άθροισμα"
