"Add Tax","Добавить налог"
"Delete Tax","Удалить налог"
"All Websites","Все веб-сайты"
"FPT","FPT"
"Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again.","Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again."
"Including FPT only","Включая только FPT"
"Including FPT and FPT description","Включая описание ФПТ и FPT"
"Excluding FPT. Including FPT description and final price","Excluding FPT. Including FPT description and final price"
"Excluding FPT","Excluding FPT"
"label_value","label_value"
"frontend_label","внешнийинтерфейс_метка"
"Fixed Product Tax","Fixed Product Tax"
"Country/State","Country/State"
"Tax","Налог"
"Website","Веб-сайт"
"Action","Действие"
"Excl. Tax","Без налога"
"Total","Всего"
"Incl. Tax","Включая налог"
"Total Incl. Tax","Общая стоимость (включая налоги)"
"Final Price","Конечная стоимость"
"Incl. tax","Incl. tax"
"Excl. tax","Excl. tax"
"Total incl. tax","Total incl. tax"
"Fixed Product Taxes","Fixed Product Taxes"
"Enable FPT","Разрешить FPT"
"Display Prices In Product Lists","Display Prices In Product Lists"
"Display Prices On Product View Page","Display Prices On Product View Page"
"Display Prices In Sales Modules","Display Prices In Sales Modules"
"Display Prices In Emails","Display Prices In Emails"
"Apply Tax To FPT","Apply Tax To FPT"
"Include FPT In Subtotal","Include FPT In Subtotal"
