"Widget Insertion","Inserção de Widget"
"Insert Widget","Inserir Widget"
"Cancel","Cancelar"
"label","rótulo"
"Choose...","Escolha..."
"Close","Fechar"
"Not Selected","Não selecionado"
"Inserting a widget does not create a widget instance.","Inserting a widget does not create a widget instance."
"Widget Type","Tipo de Widget"
"-- Please Select --","-- Selecione uma opção --"
"Manage Widget Instances","Gerir Instâncias de Widgets"
"Add Widget","Adicionar Widget"
"Save and Continue Edit","Salvar e Continuar a Editar"
"Widget ""%1""","Widget ""%1"""
"New Widget Instance","Nova Instância de Widget"
"Custom Layouts","Layouts Personalizados"
"Page Layouts","Layout da página"
"Please Select Container First","Por favor, selecione o container primeiro"
"Storefront Properties","Propriedades da Loja"
"Type","Tipo"
"Design Package/Theme","Design Tema"
"Widget Title","Título do Widget"
"Assign to Store Views","Atribuir à Frentes de Loja"
"Sort Order","Ordenação"
"Sort Order of widget instances in the same container","Ordenação de instâncias de widget no mesmo container"
"Layout Updates","Atualizações de Layout"
"Categories","Categorias"
"Anchor Categories","Categorias âncora"
"Non-Anchor Categories","Categorias não âncora"
"All Product Types","Todos os tipos de produto"
"Products","Produtos"
"Generic Pages","Páginas genéricas"
"All Pages","Todas as Páginas"
"Specified Page","Página Especificada"
"Add Layout Update","Adicionar Atualização de Layout"
"Widget Options","Opções do Widget"
"Settings","Configurações"
"Design Theme","Design do Tema"
"Continue","Próximo"
"Widget","Widget"
"Please specify a Widget Type.","Por favor especifique um Tipo de Widget."
"CMS","CMS"
"Please specify a correct widget.","Por favor especifique um widget correto."
"The widget instance has been deleted.","A instância do widget foi removida."
"New Widget","Novo Widget"
"Widgets","Widgets"
"No widget instance IDs were provided to be deleted.","No widget instance IDs were provided to be deleted."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Widget(s) with ID(s) %1 were not found","Widget(s) with ID(s) %1 were not found"
"The widget instance has been saved.","A instância do widget foi gravada."
"No such entity with instance_id = %instance_id","No such entity with instance_id = %instance_id"
"name","nome"
"description","descrição"
"We cannot create the widget instance because it is missing required information.","Não conseguimos criar a instância do widget porque estão faltando informações obrigatórias."
"Layout update is invalid","Layout update is invalid"
"None","Nenhum"
"Remove Layout Update","Remover Atualização de Layout"
"%1","%1"
"Container","Container"
"Template","Modelo"
"All","Todos"
"Specific %1","Específico %1"
"Open Chooser","Abrir Seletor"
"Apply","Aplicar"
"Page","Página"
"Orders and Returns","Pedidos e Devoluções"
"Orders and Returns Search Form","Formulário de Pesquisa de Pedidos e Devoluções"
"Anchor Custom Title","Título Personalizado da Âncora"
"CMS Page Link Block Template","Template de Bloco do Link da Página CMS"
"CMS Page Link Inline Template","Template Inline do Link da Página CMS"
"Display a Link to Loading a Spreadsheet","Exibir um Link para carregar uma planilha"
"Defines whether a link to My Account","Define um link para A Minha Conta"
"Link Text","Texto do link"
"The text of the link to the My Account &gt; Order by SKU page","O texto do link para a página Minha Conta &gt; Encomendar por SKU"
"Load a list of SKUs","Carregar uma lista de SKUs"
"Product","Produto"
"Select Product...","Selecionar Produto..."
"Conditions","Condições"
"Delete","Excluir"
"Are you sure you want to delete the selected widget(s)?","Are you sure you want to delete the selected widget(s)?"
"Widget ID","ID do Widget"
