"Widget Insertion","Widget Insertion"
"Insert Widget","Insert Widget"
"Cancel","Cancel"
"label","етикетка"
"Choose...","Виберіть..."
"Close","Закрити"
"Not Selected","Not Selected"
"Inserting a widget does not create a widget instance.","Inserting a widget does not create a widget instance."
"Widget Type","Widget Type"
"-- Please Select --","-- Виберіть --"
"Manage Widget Instances","Manage Widget Instances"
"Add Widget","Add Widget"
"Save and Continue Edit","Зберегти та Продовжити Редагування"
"Widget ""%1""","Widget ""%1"""
"New Widget Instance","New Widget Instance"
"Custom Layouts","Користувацька розмітка"
"Page Layouts","Розмітка сторінки"
"Please Select Container First","Please Select Container First"
"Storefront Properties","Властивості вітрини крамниці"
"Type","Тип"
"Design Package/Theme","Design Package/Theme"
"Widget Title","Widget Title"
"Assign to Store Views","Assign to Store Views"
"Sort Order","Порядок Сортування"
"Sort Order of widget instances in the same container","Sort Order of widget instances in the same container"
"Layout Updates","Layout Updates"
"Categories","Категорії"
"Anchor Categories","Anchor Categories"
"Non-Anchor Categories","Non-Anchor Categories"
"All Product Types","Усі типи товарів"
"Products","Товари"
"Generic Pages","Generic Pages"
"All Pages","Всі сторінки"
"Specified Page","Specified Page"
"Add Layout Update","Add Layout Update"
"Widget Options","Widget Options"
"Settings","Налаштування"
"Design Theme","Дизайн Теми"
"Continue","Continue"
"Widget","Widget"
"Please specify a Widget Type.","Please specify a Widget Type."
"CMS","CMS"
"Please specify a correct widget.","Please specify a correct widget."
"The widget instance has been deleted.","The widget instance has been deleted."
"New Widget","New Widget"
"Widgets","Widgets"
"No widget instance IDs were provided to be deleted.","No widget instance IDs were provided to be deleted."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Widget(s) with ID(s) %1 were not found","Widget(s) with ID(s) %1 were not found"
"The widget instance has been saved.","The widget instance has been saved."
"No such entity with instance_id = %instance_id","No such entity with instance_id = %instance_id"
"name","назва"
"description","опис"
"We cannot create the widget instance because it is missing required information.","We cannot create the widget instance because it is missing required information."
"Layout update is invalid","Layout update is invalid"
"None","Жоден"
"Remove Layout Update","Remove Layout Update"
"%1","%1"
"Container","Container"
"Template","Шаблон"
"All","Всі"
"Specific %1","Specific %1"
"Open Chooser","Open Chooser"
"Apply","Застосувати"
"Page","Сторінка"
"Orders and Returns","Замовлення і повернення"
"Orders and Returns Search Form","Orders and Returns Search Form"
"Anchor Custom Title","Користувацький заголовок якоря"
"CMS Page Link Block Template","CMS Page Link Block Template"
"CMS Page Link Inline Template","CMS Page Link Inline Template"
"Display a Link to Loading a Spreadsheet","Показувати посилання на завантаження таблиці"
"Defines whether a link to My Account","Defines whether a link to My Account"
"Link Text","Текст посилання"
"The text of the link to the My Account &gt; Order by SKU page","Текст посилання до Мій обліковий запис &gt; Сторінка замовлення за артикулом"
"Load a list of SKUs","Завантажити список артикулів"
"Product","Продукт"
"Select Product...","Виберіть товар..."
"Conditions","Умови"
"Delete","Delete"
"Are you sure you want to delete the selected widget(s)?","Are you sure you want to delete the selected widget(s)?"
"Widget ID","Widget ID"
