"Wish List","Soovinimekiri"
"Wish List Sharing","Soovinimekirja jagamine"
"My Wish List","Minu soovinimekiri"
"%1's Wish List","%1's Soovilist"
"Page not found.","Lehte ei leitud."
"We can't specify a product.","We can't specify a product."
"We can't add the item to Wish List right now: %1.","We can't add the item to Wish List right now: %1."
"We can't add the item to Wish List right now.","We can't add the item to Wish List right now."
"You added %1 to your shopping cart.","Te lisasite %1 toote oma ostukorvi."
"This product(s) is out of stock.","Toode/tooted on laost otsas."
"We can't add the item to the cart right now.","We can't add the item to the cart right now."
"We can't load the Wish List item right now.","We can't load the Wish List item right now."
"We can't configure the product right now.","We can't configure the product right now."
"The requested cart item doesn't exist.","The requested cart item doesn't exist."
"%1 has been moved to your wish list.","%1 lisati soovikorvi."
"We can't move the item to the wish list.","We can't move the item to the wish list."
"We can't delete the item from Wish List right now because of an error: %1.","We can't delete the item from Wish List right now because of an error: %1."
"We can't delete the item from the Wish List right now.","We can't delete the item from the Wish List right now."
"Message length must not exceed %1 symbols","Sõnumi pikkus ei tohi olla pikem kui %1 sümbolit"
"Please enter an email address.","Palun sisestage e-posti aadress."
"This wish list can be shared %1 more times.","This wish list can be shared %1 more times."
"Please enter a valid email address.","Palun sisesta korrektne e-posti aadress."
"Your wish list has been shared.","Soovinimekiri jagatud."
"We can't delete item from Wish List right now.","We can't delete item from Wish List right now."
"Can't save description %1","Can't save description %1"
"Can't update wish list","Can't update wish list"
"%1 has been updated in your Wish List.","%1 has been updated in your Wish List."
"We can't update your Wish List right now.","We can't update your Wish List right now."
"The requested Wish List doesn't exist.","The requested Wish List doesn't exist."
"We can't create the Wish List right now.","We can't create the Wish List right now."
"%1 items","%1 toodet"
"1 item","1 toode"
"Comment","Kommentaar"
"Display number of items in wish list","Näita toodete kogust soovikorvis"
"Display item quantities","Näita kaubakoguseid"
"An item option with code %1 already exists.","An item option with code %1 already exists."
"We can't specify a wish list.","We can't specify a wish list."
"Cannot specify product.","Cannot specify product."
"Product is not salable.","Toode pole müüdav."
"Invalid item option format.","Invalid item option format."
"%1 for ""%2"".","%1 ""%2"" eest."
"We can't add this item to your shopping cart right now.","We can't add this item to your shopping cart right now."
"We couldn't add the following product(s) to the shopping cart: %1.","We couldn't add the following product(s) to the shopping cart: %1."
"We can't update the Wish List right now.","We can't update the Wish List right now."
"%1 product(s) have been added to shopping cart: %2.","%1 product(s) have been added to shopping cart: %2."
"Comment:","Kommentaar:"
"We cannot retrieve the Wish List.","We cannot retrieve the Wish List."
"%1's Wishlist","%1's Wishlist"
"We can't specify a wish list item.","We can't specify a wish list item."
"The product does not exist.","Toodet pole olemas."
"Test Phrase","Test Phrase"
"message","sõnum"
"Message","Sõnum"
"error-message","veateade"
"LocalizedException","LocalizedException"
"Product Exception.","Product Exception."
"Localized Exception.","Localized Exception."
"Are you sure you want to remove this item?","Olete kindel, et soovite selle artikli eemaldada?"
"Special Price","Special Price"
"Regular Price","Regular Price"
"Share Wish List","Jaga soovinimekirja"
"Add All to Cart","Lisa kõik ostukorvi"
"Update Wish List","Uuenda soovinimekirja"
"Move to Wishlist","Tõsta soovinimekirja"
"Add to Wish List","Lisa soovinimekirja"
"View Product","Vaata toodet"
"Qty","Kogus"
"Add to Cart","Lisa ostukorvi"
"Availability","Saadavus"
"In stock","Laos"
"Out of stock","Laost otsas"
"Edit","Muuda"
"Remove Item","Eemalda toode"
"Remove item","Eemalda toode"
"Add to Compare","Lisa võrdlusesse"
"This Wish List has no Items","Soovinimekirjas pole tooteid"
"%1 has been added to your Wish List.","%1 lisati soovikorvi."
"Click <a href=""%1"">here</a> to continue shopping.","Vajuta <a href=""%1"">siia</a> et jätkata ostlemist."
"See Details","Vaata detaile"
"Options Details","Valikute üksikasjad"
"RSS link to %1's wishlist","%1 soovinimekirja RSS link"
"RSS Feed","RSS voog"
"Product","Toode"
"Back","Tagasi"
"Wish List is empty now.","Soovinimekiri on nüüd tühi."
"* Required Fields","* Kohustuslikud väljad"
"Sharing Information","Jagamise info"
"Email addresses, separated by commas","E-posti aadressid, komaga eraldatult"
"Check here to link an RSS feed to your Wish List.","Check here to link an RSS feed to your Wish List."
"Last Added Items","Viimati lisatud tooted"
"Remove This Item","Eemalda toode"
"Go to Wish List","Mine soovinimekirja"
"You have no items in your wish list.","Ostukorvis pole tooteid."
"Take a look at %customer_name's Wish List","Take a look at %customer_name's Wish List"
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name wants to share this Wish List from %store_name with you:"
"Message from %customer_name:","Message from %customer_name:"
"View all Wish List items","Vaata kõiki soovinimekirja tooteid"
"Wish List Section","Soovikorv"
"Share Options","Jagamise valikud"
"Email Sender","E-posti saatja"
"Email Template","E-kirja põhi"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"Max Emails Allowed to be Sent","Max Emails Allowed to be Sent"
"Email Text Length Limit","E-posti teksti pikkuse piirang"
"General Options","Üldvalikud"
"Enabled","Lubatud"
"My Wish List Link","Minu soovikirja link"
"Display Wish List Summary","Display Wish List Summary"
"Enable RSS","Luba RSS"
"No Items Found","No Items Found"
"Product Name","Toote nimi"
"User Description","User Description"
"Quantity","Kogus"
"Add Locale","Lisa lokaliseering"
"Add Date","Lisa kuupäev"
"Days in Wish List","Päevi soovinimekirjas"
"Action","Toiming"
"Configure","Seadista"
"Delete","Kustuta"
"Product Details and Comment","Product Details and Comment"
"Add To Wishlist","Add To Wishlist"
"Are you sure you want to remove this product from your Wish List?","Are you sure you want to remove this product from your Wish List?"
"%1 has been removed from your Wish List.","%1 has been removed from your Wish List."
"10 by default. Max - 10000","10 by default. Max - 10000"
"255 by default","255 by default"
"The Wish List item can't load at this time. Please try again later.","The Wish List item can't load at this time. Please try again later."
"The cart item doesn't exist.","The cart item doesn't exist."
"You must login or register to add items to your wishlist.","You must login or register to add items to your wishlist."
"Show in Sidebar","Show in Sidebar"
