"Wish List","Листа со желби"
"Wish List Sharing","Сподели ја листата со желби"
"My Wish List","Моја листа со желби"
"%1's Wish List","Листата со желби на %1"
"Page not found.","Страната не е пронајдена."
"We can't specify a product.","We can't specify a product."
"We can't add the item to Wish List right now: %1.","Во моментот неможеме да го додадеме продуктот во листата со желби %1."
"We can't add the item to Wish List right now.","Во моментот неможеме да го додадеме продуктот во листата со желби."
"This product(s) is out of stock.","Продуктот/тите не е/се повеќе на залиха."
"We can't add the item to the cart right now.","We can't add the item to the cart right now."
"The Wish List item can't load at this time. Please try again later.","The Wish List item can't load at this time. Please try again later."
"We can't configure the product right now.","We can't configure the product right now."
"The cart item doesn't exist.","The cart item doesn't exist."
"%1 has been moved to your wish list.","%1 е преместен во вашата листа со желби."
"We can't move the item to the wish list.","Неможеме да го преместиме продуктот во листата со желби."
"You must login or register to add items to your wishlist.","Мора да бидете најавени за да додадете продукти во вашата листа со желби."
"We can't delete the item from Wish List right now because of an error: %1.","Неможеме да го избришеме продуктот од Листата со желби сега, поради следната грешка: %1."
"We can't delete the item from the Wish List right now.","Неможеме да го избришеме продуктот од Листата со желби сега."
"Incorrect CAPTCHA","Incorrect CAPTCHA"
"Message length must not exceed %1 symbols","Message length must not exceed %1 symbols"
"Please enter an email address.","Внесете емаил адреса."
"Maximum of %1 emails can be sent.","Maximum of %1 emails can be sent."
"Please enter a valid email address.","Ве молиме внесете валидна емаил адреса."
"Your wish list has been shared.","Вашата листа со желби е споделена."
"We can't delete item from Wish List right now.","Неможеме да го избришеме продуктот од листата со желби сега."
"%1 has been updated in your Wish List.","%1 е ажуриран во вашата листа со желби."
"Can't save description %1","Can't save description %1"
"Can't update wish list","Листата со желби неможе да се ажурира"
"We can't update your Wish List right now.","Неможеме да ја ажурираме вашата листа со желби сега."
"You added %1 to your shopping cart.","Додадовте %1 во вашата кошничка."
"The requested Wish List doesn't exist.","Бараната листа со желби не постои."
"We can't create the Wish List right now.","Неможеме да креираме листа со желби сега."
"%1 items","%1 продукти"
"1 item","1 продукт"
"Comment","Коментар"
"Display number of items in wish list","Покажи број на продукти во листата со желби"
"Display item quantities","Display item quantities"
"An item option with code %1 already exists.","An item option with code %1 already exists."
"We can't specify a wish list.","Неможеме да наведеме листа со желби."
"Cannot specify product.","Cannot specify product."
"Product is not salable.","Product is not salable."
"Invalid item option format.","Invalid item option format."
"%1 for ""%2"".","%1 for ""%2""."
"We can't add this item to your shopping cart right now.","Во моментот неможеме да го додадеме продуктот во кошничката."
"We couldn't add the following product(s) to the shopping cart: %1.","We couldn't add the following product(s) to the shopping cart: %1."
"We can't update the Wish List right now.","Неможеме да ја ажурираме листата со желби сега."
"%1 product(s) have been added to shopping cart: %2.","%1 продукт/и се додадени во кошничката: %2."
"Comment:","Коментар:"
"We cannot retrieve the Wish List.","Не можеме да ја превземеме листата со желби."
"%1's Wishlist","Листата со желби на %1"
"Cannot add product without stock to wishlist.","Cannot add product without stock to wishlist."
"We can't specify a wish list item.","Неможеме да наведеме продукт од листата со желби."
"The product does not exist.","The product does not exist."
"Could not find a product with SKU ""%sku""","Could not find a product with SKU ""%sku"""
"The quantity of a wish list item cannot be 0","The quantity of a wish list item cannot be 0"
"The product is disabled","The product is disabled"
"Could not add the product with SKU ""%sku"" to the wishlist:: %message","Could not add the product with SKU ""%sku"" to the wishlist:: %message"
"Wrong format of the entered option data","Wrong format of the entered option data"
"Required fields are not present EnteredOption.uid, EnteredOption.value","Required fields are not present EnteredOption.uid, EnteredOption.value"
"The wishlist item with ID ""%id"" does not belong to the wishlist","The wishlist item with ID ""%id"" does not belong to the wishlist"
"Could not find a wishlist item with ID ""%id""","Could not find a wishlist item with ID ""%id"""
"We can't delete the item with ID ""%id"" from the Wish List right now.","We can't delete the item with ID ""%id"" from the Wish List right now."
"Test Phrase","Test Phrase"
"message","порака"
"Message","Порака"
"error-message","error-message"
"LocalizedException","LocalizedException"
"Product Exception.","Product Exception."
"Localized Exception.","Localized Exception."
"Are you sure you want to remove this item?","Дали сте сигурни дека сакате да го отстраните овој продукт?"
"Special Price","Special Price"
"Regular Price","Regular Price"
"Share Wish List","Сподели листа со желби"
"Add All to Cart","Додади ги сите во кошничка"
"Update Wish List","Ажурирај листа со желби"
"Move to Wishlist","Премести во листа со желби"
"Add to Wish List","Додади во листа на желби"
"View Product","View Product"
"Qty","Кол"
"Add to Cart","Додади во кошничка"
"Availability","Availability"
"In stock","На залиха"
"Out of stock","Нема на залиха"
"Edit","Измени"
"Remove Item","Отстрани продукт"
"Remove item","Отстрани продукт"
"Add to Compare","Спореди продукт"
"This Wish List has no Items","Оваа листа со желби нема продукти"
"%1 has been added to your Wish List.","%1 е додаден во вашата листа со желби."
"Click <a href=""%1"">here</a> to continue shopping.","Кликнете <a href=""%1"">овде</a> да продолжите со купување."
"%1 has been removed from your Wish List.","%1 has been removed from your Wish List."
"See Details","Види детали"
"Options Details","Детали за опции"
"RSS link to %1's wishlist","RSS врска до листата со желби на %1"
"RSS Feed","RSS Feed"
"Product","Продукт"
"Back","Назад"
"Wish List is empty now.","Листата со желби сега е празна."
"* Required Fields","* Задолжителни полиња"
"Sharing Information","Информации"
"Email addresses, separated by commas","Емаил адреси, одделени со запирка"
"Check here to link an RSS feed to your Wish List.","Check here to link an RSS feed to your Wish List."
"Last Added Items","Последно додадени продукти"
"Remove This Item","Отстрани го овој продукт"
"Go to Wish List","Оди во листа со желби"
"You have no items in your wish list.","Немате продукти во листата со желби."
"Take a look at %customer_name's Wish List","Види ја листата со желби на %customer_name"
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name сака да ја сподели оваа Листа со желби од %store_name со вас:"
"View all Wish List items","Види ги сите продукти од листата со желби"
"Wish List Section","Листа со желби Секција"
"Share Options","Share Options"
"Email Sender","Email Sender"
"Email Template","Email Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"Max Emails Allowed to be Sent","Max Emails Allowed to be Sent"
"10 by default. Max - 10000","10 by default. Max - 10000"
"Email Text Length Limit","Email Text Length Limit"
"255 by default. Max - 10000","255 by default. Max - 10000"
"General Options","General Options"
"Enabled","Овозможено"
"Show in Sidebar","Show in Sidebar"
"My Wish List Link","Врска до мојата листа со желби"
"Display Wish List Summary","Display Wish List Summary"
"Enable RSS","Enable RSS"
"No Items Found","Не се пронајдени продукти"
"Product Name","Име на продуктот"
"User Description","User Description"
"Quantity","Количина"
"Add Locale","Add Locale"
"Add Date","Add Date"
"Days in Wish List","Денови во листата"
"Action","Акција"
"Configure","Конфигурирај"
"Delete","Избриши"
"Product Details and Comment","Детали за продуктот и коментари"
"Add To Wishlist","Add To Wishlist"
