"Backup options","Biztonsági mentés opciók"
"Warning","Figyelmeztetés"
"Cancel","Mégse"
"Ok","Ok"
"Insert Widget...","Insert Widget..."
"No records found.","Nem található rekord."
"Recent items","Legújabb elemek"
"Show all...","Összes megjelenítése..."
"Please enter a number greater 0 in this field.","Ebben a mezőben adjon meg egy egy 0-nál nagyobb számot."
"Please select one of each ratings above.","Kérjük, válasszon egyet az egyes fenti értékelések közül."
"Please specify Url.","Kérem, adjon meg egy Url-t."
"Method %s does not exist on jQuery.decorate","%s metódus nem létezik a jQuery.decorate függvényben"
"Close","Bezár"
"Next","Következő"
"Previous","Előző"
"Please wait...","Kérem várjon..."
"Loading...","Betöltés..."
"All ","All "
"more","több"
"Save","Save"
"Translate","Fordítás"
"Submit","Beküldés"
"Please enter {0} words or less.","Kérem {0} vagy kevesebb szót írjon be."
"Please enter at least {0} words.","Kérem legalább {0} szót adjon meg."
"Please enter between {0} and {1} words.","Kérem {0} és {1} darab közötti szót írjon be."
"Letters or punctuation only please","Kérem csak betűt vagy pontot adjon meg"
"Letters, numbers, spaces or underscores only please","Kérem csak betűt, számot, szóközt vagy alulvonást adjon meg"
"Letters only please","Kérem csak betűket adjon meg"
"No white space please","Kérem ne adjon meg szóközöket"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","Az irányítószámnak a 902xx-xxxx-905-xx-XXXX tartományban kell lennie"
"A positive or negative non-decimal number please","Kérem pozitív vagy negatív egész számot adjon meg"
"The specified vehicle identification number (VIN) is invalid.","A megadott alvázszám érvénytelen."
"Please enter a correct date","Kérem adjon meg egy érvényes dátumot"
"Please enter a valid time, between 00:00 and 23:59","Kérem adjon meg egy érvényes időpontot 00:00 és 23:59 között"
"Please enter a valid time, between 00:00 am and 12:00 pm","Kérem adjon meg egy érvényes időpontot 00:00 Am és 12:00 Pm között"
"Please specify a valid phone number","Kérem adjon meg egy érvényes telefonszámot"
"Please specify a valid mobile number","Kérem adjon meg egy érvényes mobil számot"
"Please enter at least {0} characters","Kérem adjon meg legalább {0} karaktert"
"Please remove invalid characters: {0}.","Kérjük, távolítsa el az érvénytelen karaktereket: {0}."
"Please enter a valid credit card number.","Kérem adjon meg egy érvényes bankkártya számot."
"Please enter a valid IP v4 address.","Kérem adjon meg egy érvényes IP v4 címet."
"Please enter a valid IP v6 address.","Kérem adjon meg egy érvényes IP v6 címet."
"Invalid format.","Érvénytelen formátum."
"HTML tags are not allowed.","HTML címkék nem engedélyezettek."
"Please select an option.","Kérem válasszon opciót."
"Empty Value.","Üres érték."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","Ebben a mezőben csak betűket (a-z vagy A-Z), számokat (0-9) vagy szóközöket használhat."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Ebben a mezőben csak betűket (a-z vagy A-Z), számokat (0-9) vagy alulvonást (_) használhat, és az első karakternek betűnek kell lennie."
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","Ebben a mezőben csak betűket (a-z vagy A-Z), számokat (0-9), szóközt vagy ""#""-t használhat."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Kérem adjon meg egy érvényes telefonszámot. Például (123) 456-7890 vagy 123-456-7890."
"Please enter a valid fax number (Ex: 123-456-7890).","Kérem érvényes fax számot adjon meg (Pl: 123-456-7890)."
"Please enter a valid email address (Ex: johndoe@domain.com).","Kérem adjon meg egy érvényes email címet (Például: johndoe@domain.com)."
"Please enter 6 or more characters. Leading and trailing spaces will be ignored.","Kérem írjon be 6 vagy több karaktert. A szóközök a karakterlánc elején és végén figyelmen kívül lesznek hagyva."
"Please enter 7 or more characters, using both numeric and alphabetic.","Kérem írjon be 7 vagy több karaktert, számokat és betűket is használjon."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","Ennek a mezőnek a minimális hossza %1 szimbólum kell, hogy legyen. A karakterlánc elején és végén levő szóközök figyelmen kívül lesznek hagyva."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","A jelszóban szereplő karakter típusok száma minimum %1. Karakter osztályok: kisbetű, nagybetű, szám, speciális karakter."
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://).","Kérem adjon meg egy érvényes URL-t. A protokoll megadása szükséges (http://, https:// or ftp://)."
"Please enter a valid URL. For example http://www.example.com or www.example.com.","Kérem adjon meg egy érvényes URL-t. Például http://www.example.com vagy www.example.com."
"Please enter a valid XML-identifier (Ex: something_1, block5, id-4).","Kérjük, adhon meg egy érvényes XML-azonosítót (pl: valami_1, blokk5, id-4)."
"Please enter a valid social security number (Ex: 123-45-6789).","Kérem érvényes társadalombiztosítási számot adjon meg (Pl: 123-45-6789)."
"Please enter a valid zip code (Ex: 90602 or 90602-1234).","Adjon meg egy érvényes irányítószámot (pl: 90602 vagy 90602-1234)."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Kérjük használja ezt a dátum formátumot: nn/hh/éééé. Például 17/03/2006 2006. március 17."
"Please enter a valid $ amount. For example $100.00.","Kérem, adjon meg egy érvényes $ összeget. Például $100.00."
"Please enter a number 0 or greater in this field.","Ebben a mezőben adjon meg egy számot, ami 0 vagy annál nagyobb."
"Please enter a number greater than 0 in this field.","Ebben a mezőben adjon meg egy számot, ami 0-nál nagyobb."
"Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%).","Adjon meg érvényes CSS-hosszat (pl: 100px, 77pt, 20em, .5ex, vagy 50 %)."
"Please enter a valid number in this field.","Kérem adjon meg egy érvényes számot."
"The value is not within the specified range.","Az érték nem a meghatározott tartományon belül van."
"Please use letters only (a-z or A-Z) in this field.","Kérem csak betűket használjon (a-z vagy A-Z) ebben a mezőben."
